,Report date,State,County,Facility,Facility type,Functionality,OPD,EPI,ANC,PNC,SBA,BEmONC,CEmONC,FP,PMTCT,ART,TB,BHI,Inpatient - Paeds,Inpatient - Adult,Basic surgery,MHPSS,SGBV,NCD,Nut. OTP,Nut. TSFP,Nut. SC,Laboratory,Disability,# Clinical staff,Essential meds stockout,FP stockout,Vaccine stockout,Ambulance access,# Inpatient beds - adult,# Inpatient beds - paeds,Electricity,Latrine,Dedicated mobile phone,EPI refrigerator,Protected water source
952,31/12/2019,Unity,Panyijiar,Makur Phcu,PHCU,Moderate,Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,No Stockout,Recent Stockout,,Not Available,,,,Not Available,Not Available,Not Available,Available
953,31/12/2020,Unity,Panyijiar,Maluak Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
954,31/12/2020,Unity,Panyijiar,Maluok Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
955,31/12/2020,Unity,Panyijiar,Merlsland Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
956,31/12/2020,Unity,Panyijiar,Morgok Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
957,31/12/2020,Unity,Panyijiar,Nyadong Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
958,31/12/2020,Unity,Panyijiar,Nyal Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Available,Not Available,Available,Available,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,15,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
959,31/12/2020,Unity,Panyijiar,Pachak Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
960,31/12/2020,Unity,Panyijiar,Pachar Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
961,31/12/2020,Unity,Panyijiar,Pathiel Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
962,31/12/2020,Unity,Panyijiar,Tiap Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
963,01/01/2019,Upper Nile,Panyikang,Alaki Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,30/09/2019,Upper Nile,Panyikang,Andari Phcu,PHCU,Moderate,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,12,No Stockout,Recent Stockout,Recent Stockout,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Available
965,01/01/2019,Upper Nile,Panyikang,Doliephill Phcu,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,31/12/2020,Upper Nile,Panyikang,Lul Phcu,PHCU,Moderate,Available,,Available,,,,Not Available,Available,,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Available,,,,,,,,,,No Stockout,,,,,,,Available,
967,31/12/2020,Upper Nile,Panyikang,Nakdiar Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,10,Recent Stockout,Recent Stockout,Recent Stockout,Not Available,1,0,Not Available,Available,Not Available,Available,Not Available
968,31/12/2020,Upper Nile,Panyikang,Nyibodo Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Recent Stockout,Recent Stockout,Recent Stockout,Not Available,1,0,Not Available,Not Available,Not Available,Available,Not Available
969,01/01/2019,Upper Nile,Panyikang,Nyiluak Phcc,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,01/01/2019,Upper Nile,Panyikang,Obel Phcc,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,31/12/2020,Upper Nile,Panyikang,Oweci Phcc,PHCC,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,12,Recent Stockout,Recent Stockout,Recent Stockout,Not Available,1,0,Not Available,Available,Not Available,Available,Not Available
972,01/01/2019,Upper Nile,Panyikang,Pakang Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,01/01/2019,Upper Nile,Panyikang,Pakwar Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,01/01/2019,Upper Nile,Panyikang,Papwojo Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,31/12/2020,Upper Nile,Panyikang,Tonga Phcc,PHCC,Moderate,Available,,Available,,,,Not Available,Available,,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Available,,,,,,,,,,No Stockout,,,,,,,Available,
976,31/12/2020,Unity,Pariang,Ajoungthok Camp Phcu,PHCU,Limited,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,12,No Stockout,Recent Stockout,No Stockout,Available,0,0,Available,Available,Available,Not Available,Available
977,31/12/2020,Unity,Pariang,Biu Phcu,PHCC,Moderate,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,3,,No Stockout,No Stockout,Available,2,1,Not Available,Available,,Available,Available
